DEPTH,RHOB,DT,GR,AI,AIR,PHIE,label,AILP,AIRLP,RHOBLP,GRLP,PHIELP
564.15,2008.7896,512.3578,55.7909,3920708.75,-42209.5078,0.4008,3,3948396.566085684,-37920.94891109413,2053.5373191625267,61.20845205714512,0.37435684011483167
564.3,2024.6763,508.7962,51.9969,3979421.5,-42209.5078,0.3908,3,3949381.3981232555,-39201.91687744069,2054.079886597917,61.13249363464121,0.3740211382395101
564.45,1986.3334,508.4004,51.0881,3907040.75,-42209.5078,0.4148,3,3950291.8025718206,-40384.36884767713,2054.4937093309973,61.03583597220784,0.373765390950304
564.6,1979.0576,516.9037,51.0881,3828944.5,-42209.5078,0.4194,3,3951129.993479749,-41474.66872270039,2054.7786417968864,60.919914430102025,0.37358964847518533
564.75,2028.6057,527.9915,52.8689,3841966.75,-42209.5078,0.3884,3,3951898.8174821786,-42479.21368887099,2054.9358138487446,60.78639765084509,0.37349316844859837
564.9,2054.5754,539.8366,55.5518,3806180.0,-42209.5078,0.3722,3,3952601.6732149953,-43404.417679596256,2054.967604541544,60.63717027799124,0.37347443272616987
565.05,2039.5884,547.3654,56.6038,3726388.25,-42209.5078,0.3815,3,3953242.429374427,-44256.69543241993,2054.877605834001,60.4743137639504,0.37353117045105505
565.2,2008.1992,540.8092,56.9471,3713391.75,-42209.5078,0.4012,3,3953825.3421948026,-45042.44710769541,2054.6705765227307,60.30008545008514,0.37366038717120215
565.35,1967.8792,525.2885,57.7242,3746577.5,-42209.5078,0.4264,3,3954354.973081383,-45768.043431127386,2054.352386799011,60.116896116521936,0.37385839975979174
565.5,1969.0221,512.8518,58.5435,3839879.5,-42209.5078,0.4256,3,3954836.1070959736,-46439.811319639266,2053.9299538926202,59.92728621148501,0.3741208768455599
565.65,1991.2365,514.0494,59.2395,3873647.25,-42209.5078,0.4117,3,3955273.6729509695,-47064.01994815866,2053.411169338443,59.73390098037903,0.374442884415989
565.8,2032.99,517.5686,59.4663,3927887.0,-42209.5078,0.3856,3,3955672.665123273,-47646.86721399721,2052.8048184693057,59.53946472323699,0.37481893621479767
565.95,2075.9976,521.5784,59.4663,3980142.25,-43455.9609,0.3587,3,3956038.068653997,-48194.46655551031,2052.120492802182,59.34675441545031,0.3752430485161312
